,landmark
0,142820
1,104169
2,102140
3,2474
4,149463
5,6888
6,122849
7,81049
8,198623
9,187670
10,189446
11,135850
12,117635
13,73107
14,74821
15,12877
16,47417
17,19402
18,17465
19,100587
20,89919
21,86294
22,40847
23,101718
24,43200
25,147865
26,82428
27,34190
28,106131
29,156009
30,96991
31,184150
32,23826
33,124699
34,63894
35,194449
36,37768
37,175201
38,99844
39,25174
40,192931
41,22353
42,34168
43,151068
44,77563
45,30880
46,153278
47,8706
48,153836
49,77887
50,8538
51,51272
52,188405
53,29609
54,125985
55,29708
56,87109
57,90672
58,169256
59,183252
60,120322
61,143824
62,132510
63,145053
64,6946
65,61019
66,97895
67,31194
68,11470
69,172323
70,60039
71,28358
72,17924
73,100624
74,97330
75,155970
76,35933
77,5497
78,191167
79,17358
80,186922
81,13943
82,115574
83,120693
84,92674
85,137184
86,63238
87,130266
88,130902
89,186080
90,171951
91,181602
92,110444
93,30356
94,83920
95,51418
96,2838
97,44200
98,33153
99,19605
100,38921
101,171683
102,177870
103,186052
104,146888
105,15889
106,171249
107,34814
108,96945
109,63840
110,163404
111,189811
112,51878
113,86869
114,73525
115,87787
116,106553
117,88729
118,95548
119,87097
120,165244
121,164415
122,138016
123,3811
124,82057
125,196365
126,201230
127,27561
128,199107
129,160240
130,70559
131,122742
132,33695
133,75501
134,53806
135,16820
136,162628
137,151124
138,23777
139,14883
140,148938
141,140067
142,25529
143,164523
144,33197
145,45272
146,84909
147,16307
148,134945
149,125425
150,4859
151,1003
152,177774
153,76647
154,110246
155,29520
156,150231
157,191033
158,28327
159,171509
160,99943
161,126637
162,85309
163,65662
164,48979
165,140832
166,54730
167,200092
168,186615
169,65141
170,50102
171,136942
172,79249
173,82734
174,129179
175,118673
176,90021
177,164029
178,13471
179,129883
180,4881
181,5587
182,112605
183,122142
184,4323
185,186162
186,187853
187,98661
188,78628
189,104239
190,129010
191,169894
192,43744
193,155075
194,179022
195,173936
196,141984
197,39203
198,11622
199,61840
200,182797
201,113056
202,83936
203,92888
204,42169
205,62798
206,172806
207,184758
208,61907
209,187734
210,193071
211,196640
212,142644
213,19580
214,32067
215,137384
216,118028
217,11023
218,155621
219,150270
220,11656
221,127255
222,181631
223,11059
224,12614
225,10618
226,128149
227,165596
228,116829
229,14641
230,113460
231,84247
232,178500
233,84065
234,66987
235,100039
236,184470
237,128507
238,194740
239,42991
240,54367
241,141950
242,202182
243,6679
244,189414
245,160782
246,201061
247,156045
248,166708
249,199802
250,165900
251,83467
252,34481
253,107474
254,126131
255,75319
256,15862
257,164687
258,186326
259,20064
260,180062
261,124903
262,97324
263,107894
264,63334
265,14569
266,9075
267,124882
268,178233
269,71038
270,190456
271,1468
272,9908
273,165812
274,88331
275,149260
276,110532
277,58609
278,47259
279,195439
280,106950
281,189029
282,10949
283,153708
284,25600
285,132985
286,44939
287,180901
288,83610
289,104416
290,175254
291,17373
292,195396
293,29363
294,193978
295,77082
296,23475
297,122228
298,85606
299,200749
300,13941
301,165947
302,69661
303,135464
304,18059
305,12927
306,103669
307,93246
308,114463
309,130151
310,48484
311,187470
312,171194
313,163749
314,128268
315,152706
316,145015
317,37028
318,180883
319,22299
320,199409
321,79148
322,133116
323,123783
324,55631
325,177871
326,178385
327,79287
328,40530
329,175410
330,71304
331,60602
332,33252
333,20153
334,122017
335,39740
336,5821
337,82303
338,124789
339,200842
340,56219
341,49565
342,44318
343,18932
344,18159
345,115476
346,60873
347,171772
348,18115
349,129746
350,55551
351,68429
352,83577
353,52806
354,160764
355,172276
356,14786
357,67416
358,65472
359,168132
360,40979
361,171247
362,179958
363,7692
364,129610
365,141391
366,91860
367,16557
368,146359
369,10940
370,177194
371,162651
372,169837
373,25986
374,37366
375,45086
376,155280
377,57043
378,80256
379,120694
380,68074
381,59839
382,47207
383,188787
384,35793
385,32072
386,122355
387,64531
388,151813
